epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,2683.49,0.65948,0.72653,0.94314,0.62262,0.49114,0.55229,0.44202,0.75541,1.42341,1.0763,0.000214936,0.000214936,0.000214936
133,2705.11,0.66772,0.72957,0.94066,0.58324,0.49584,0.54117,0.43317,0.75556,1.41392,1.07156,0.000210706,0.000210706,0.000210706
134,2727.07,0.68091,0.73958,0.93857,0.67128,0.42222,0.5464,0.40951,0.75279,1.38923,1.0702,0.000206476,0.000206476,0.000206476
135,2745.59,0.67868,0.73925,0.92776,0.53527,0.51668,0.53882,0.40435,0.74782,1.40088,1.07664,0.000202247,0.000202247,0.000202247
136,2767.58,0.6815,0.71777,0.93932,0.52185,0.53478,0.54474,0.41571,0.74368,1.38845,1.06994,0.000198018,0.000198018,0.000198018
137,2786.3,0.66217,0.69376,0.938,0.55141,0.53729,0.53779,0.40986,0.74068,1.48551,1.06422,0.000193788,0.000193788,0.000193788
138,2808.33,0.65599,0.71181,0.92766,0.55003,0.53365,0.5522,0.40606,0.74396,1.40134,1.06243,0.000189559,0.000189559,0.000189559
139,2830.11,0.6687,0.69447,0.93367,0.53767,0.5409,0.55564,0.4095,0.74915,1.40696,1.06369,0.000185329,0.000185329,0.000185329
140,2848.13,0.64392,0.68247,0.93133,0.5361,0.51275,0.53436,0.40501,0.7604,1.49086,1.07774,0.0001811,0.0001811,0.0001811
141,2870.48,0.64459,0.68848,0.92809,0.57204,0.45803,0.53339,0.42995,0.76114,1.43782,1.07962,0.00017687,0.00017687,0.00017687
142,2890.54,0.66442,0.69986,0.93558,0.53546,0.50106,0.5255,0.42322,0.76757,1.52654,1.07136,0.000172641,0.000172641,0.000172641
143,2911.36,0.65747,0.69141,0.92484,0.58579,0.47442,0.50584,0.39197,0.7659,1.54899,1.08005,0.000168411,0.000168411,0.000168411
144,2933.36,0.65336,0.67645,0.92895,0.58765,0.45297,0.53737,0.43136,0.75971,1.39639,1.07782,0.000164182,0.000164182,0.000164182
145,2952.2,0.63643,0.67583,0.92549,0.55244,0.47971,0.52795,0.42135,0.75582,1.4024,1.07138,0.000159952,0.000159952,0.000159952
146,2973.58,0.63845,0.65541,0.91364,0.55836,0.4758,0.5343,0.41361,0.75293,1.41088,1.06719,0.000155722,0.000155722,0.000155722
147,2995.69,0.65702,0.65113,0.92388,0.58509,0.49236,0.53056,0.41268,0.7547,1.47664,1.07119,0.000151493,0.000151493,0.000151493
148,3014.76,0.65291,0.65128,0.92814,0.59819,0.48,0.53647,0.43033,0.75597,1.47708,1.07186,0.000147264,0.000147264,0.000147264
149,3037.45,0.64463,0.66119,0.91204,0.50341,0.55414,0.54603,0.42738,0.7557,1.40368,1.07403,0.000143034,0.000143034,0.000143034
150,3055.8,0.63986,0.65201,0.9306,0.51129,0.53532,0.53407,0.41527,0.76292,1.44714,1.08371,0.000138805,0.000138805,0.000138805
151,3077.72,0.65552,0.64236,0.92597,0.54968,0.49366,0.53179,0.41621,0.75974,1.50366,1.08695,0.000134575,0.000134575,0.000134575
152,3099.49,0.6313,0.64614,0.91653,0.57091,0.48281,0.5316,0.42392,0.76148,1.48274,1.08831,0.000130346,0.000130346,0.000130346
153,3117.62,0.64682,0.68194,0.92489,0.51917,0.52755,0.54382,0.43417,0.75155,1.46042,1.0806,0.000126116,0.000126116,0.000126116
154,3139.24,0.62506,0.6347,0.91688,0.6192,0.47634,0.55233,0.44162,0.74403,1.40403,1.06845,0.000121887,0.000121887,0.000121887
155,3160.83,0.62073,0.63153,0.90845,0.57242,0.51222,0.54723,0.43984,0.75711,1.44432,1.0771,0.000117657,0.000117657,0.000117657
